                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 1.7821,                 1.4506,                 1.3379,                0.70812,                0.58292,                0.64371,                0.35414,                 1.7134,                 1.3388,                 1.3431,               0.007228,               0.007228,               0.007228
                     86,                 1.7697,                 1.4366,                 1.3392,                0.70983,                0.59103,                0.65716,                0.36619,                 1.6929,                 1.3198,                 1.3289,               0.007195,               0.007195,               0.007195
                     87,                 1.7887,                 1.4516,                 1.3439,                0.72293,                0.57877,                0.65983,                0.36572,                 1.7042,                  1.313,                 1.3344,               0.007162,               0.007162,               0.007162
                     88,                 1.7759,                 1.4307,                 1.3313,                0.71822,                 0.5866,                0.66066,                0.36653,                 1.6985,                 1.3173,                 1.3325,               0.007129,               0.007129,               0.007129
                     89,                 1.7699,                 1.4341,                 1.3357,                0.74327,                0.58529,                0.66173,                0.36502,                  1.709,                 1.3111,                 1.3342,               0.007096,               0.007096,               0.007096
                     90,                  1.759,                 1.4093,                 1.3286,                0.71746,                0.58991,                0.66437,                0.36661,                 1.7083,                 1.3028,                 1.3357,               0.007063,               0.007063,               0.007063
                     91,                  1.757,                 1.4223,                 1.3354,                0.72264,                0.60353,                0.66763,                 0.3713,                 1.7087,                 1.2991,                 1.3362,                0.00703,                0.00703,                0.00703
                     92,                 1.7707,                 1.4233,                 1.3388,                0.74591,                 0.5717,                0.66619,                0.36882,                 1.6986,                 1.2997,                 1.3354,               0.006997,               0.006997,               0.006997
                     93,                 1.7684,                 1.4225,                 1.3333,                0.74571,                0.57267,                0.66464,                0.36919,                 1.6952,                 1.3013,                 1.3324,               0.006964,               0.006964,               0.006964
                     94,                 1.7586,                 1.4104,                 1.3355,                0.73852,                0.57231,                0.66067,                0.36835,                  1.695,                 1.2966,                 1.3277,               0.006931,               0.006931,               0.006931
                     95,                 1.7517,                 1.4033,                  1.313,                0.73866,                0.57776,                0.66589,                0.36862,                 1.7011,                  1.293,                 1.3315,               0.006898,               0.006898,               0.006898
                     96,                 1.7479,                 1.3985,                 1.3261,                0.74359,                0.58922,                0.66842,                0.37064,                 1.6942,                 1.2923,                 1.3311,               0.006865,               0.006865,               0.006865
                     97,                 1.7513,                  1.409,                 1.3328,                0.75856,                0.58504,                0.67129,                0.37319,                 1.6907,                 1.2928,                 1.3285,               0.006832,               0.006832,               0.006832
                     98,                 1.7504,                    1.4,                 1.3276,                0.75473,                0.57894,                0.66786,                0.37377,                 1.6928,                 1.2916,                  1.328,               0.006799,               0.006799,               0.006799
                     99,                 1.7457,                 1.3915,                 1.3238,                0.75361,                0.57791,                 0.6673,                0.37276,                 1.6829,                 1.2857,                 1.3281,               0.006766,               0.006766,               0.006766
                    100,                 1.7501,                  1.394,                 1.3223,                 0.7449,                0.59143,                0.67032,                0.37369,                 1.6878,                 1.2784,                 1.3297,               0.006733,               0.006733,               0.006733
                    101,                 1.7496,                  1.394,                 1.3212,                 0.7353,                 0.5906,                0.67319,                0.37682,                 1.6772,                 1.2791,                 1.3244,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.7425,                 1.3967,                 1.3155,                0.74344,                0.59537,                0.67115,                0.37685,                 1.6797,                 1.2849,                 1.3208,               0.006667,               0.006667,               0.006667
                    103,                 1.7282,                 1.3745,                 1.3074,                0.75722,                0.58394,                0.67305,                0.37672,                 1.6888,                 1.2876,                 1.3234,               0.006634,               0.006634,               0.006634
                    104,                 1.7479,                 1.3811,                 1.3224,                0.74714,                0.60143,                0.67985,                 0.3815,                 1.6743,                 1.2765,                 1.3184,               0.006601,               0.006601,               0.006601
                    105,                 1.7286,                 1.3732,                 1.3186,                0.75035,                0.60228,                0.68014,                0.37818,                 1.6838,                 1.2834,                 1.3212,               0.006568,               0.006568,               0.006568
                    106,                 1.7342,                  1.377,                 1.3173,                0.74914,                0.60411,                0.68652,                0.38275,                  1.683,                 1.2754,                 1.3239,               0.006535,               0.006535,               0.006535
                    107,                 1.7262,                  1.367,                 1.3089,                0.75971,                0.59479,                0.68524,                0.38327,                  1.676,                 1.2739,                 1.3199,               0.006502,               0.006502,               0.006502
                    108,                 1.7256,                 1.3505,                 1.3042,                0.75903,                0.59714,                0.68494,                0.38321,                 1.6751,                  1.271,                 1.3202,               0.006469,               0.006469,               0.006469
                    109,                 1.7259,                 1.3605,                 1.3075,                 0.7649,                0.60174,                0.68725,                0.38389,                 1.6809,                 1.2689,                 1.3246,               0.006436,               0.006436,               0.006436
                    110,                 1.7278,                 1.3706,                 1.3121,                0.74557,                0.60187,                  0.687,                0.38436,                 1.6815,                  1.268,                 1.3202,               0.006403,               0.006403,               0.006403
                    111,                 1.7327,                 1.3708,                 1.3115,                0.75045,                0.60205,                0.68695,                0.38655,                 1.6783,                 1.2686,                 1.3168,                0.00637,                0.00637,                0.00637
                    112,                 1.7172,                 1.3522,                 1.3105,                0.74933,                0.59721,                0.68877,                0.38737,                 1.6725,                 1.2646,                  1.317,               0.006337,               0.006337,               0.006337
                    113,                  1.725,                 1.3577,                 1.3089,                0.74734,                0.58994,                0.68582,                 0.3854,                 1.6726,                 1.2706,                 1.3172,               0.006304,               0.006304,               0.006304
                    114,                 1.7196,                 1.3552,                 1.3106,                0.73329,                0.60719,                0.68536,                0.38664,                 1.6755,                 1.2752,                 1.3174,               0.006271,               0.006271,               0.006271
                    115,                 1.7001,                 1.3436,                 1.3002,                0.72855,                  0.605,                0.68886,                0.38862,                 1.6692,                 1.2702,                 1.3145,               0.006238,               0.006238,               0.006238
                    116,                 1.7114,                 1.3498,                 1.3152,                0.74103,                0.59875,                0.68949,                0.38864,                 1.6686,                 1.2617,                 1.3133,               0.006205,               0.006205,               0.006205
                    117,                 1.7104,                 1.3484,                 1.2972,                0.74228,                0.60399,                 0.6922,                0.39114,                 1.6661,                 1.2609,                 1.3116,               0.006172,               0.006172,               0.006172
                    118,                 1.7181,                 1.3535,                 1.3052,                 0.7466,                0.60007,                0.69477,                0.39401,                 1.6633,                 1.2589,                 1.3096,               0.006139,               0.006139,               0.006139
                    119,                 1.7197,                 1.3441,                    1.3,                0.78216,                0.58263,                0.69408,                0.39174,                 1.6632,                 1.2577,                 1.3113,               0.006106,               0.006106,               0.006106
                    120,                  1.702,                 1.3405,                 1.2921,                0.76897,                0.59716,                0.69277,                0.39224,                 1.6594,                 1.2539,                 1.3093,               0.006073,               0.006073,               0.006073
                    121,                 1.7107,                 1.3421,                 1.2943,                0.78032,                0.59196,                0.69433,                0.39348,                 1.6589,                 1.2501,                 1.3092,                0.00604,                0.00604,                0.00604
                    122,                 1.7203,                 1.3456,                 1.3083,                0.76424,                0.60542,                0.69968,                 0.3934,                 1.6614,                 1.2475,                 1.3092,               0.006007,               0.006007,               0.006007
                    123,                 1.7103,                 1.3251,                 1.2957,                0.74312,                0.61242,                  0.698,                 0.3934,                 1.6587,                 1.2427,                 1.3106,               0.005974,               0.005974,               0.005974
                    124,                 1.7006,                 1.3241,                 1.2908,                 0.7542,                0.60841,                0.69768,                0.39505,                 1.6566,                 1.2431,                 1.3099,               0.005941,               0.005941,               0.005941
                    125,                 1.7057,                 1.3261,                 1.2925,                0.75817,                0.60903,                0.69543,                0.39312,                 1.6588,                 1.2419,                 1.3097,               0.005908,               0.005908,               0.005908
                    126,                    1.7,                 1.3219,                 1.2919,                0.76112,                0.60054,                0.69651,                0.39585,                 1.6584,                 1.2446,                 1.3086,               0.005875,               0.005875,               0.005875
                    127,                 1.7001,                 1.3375,                 1.2935,                0.77186,                0.60316,                 0.6973,                0.39495,                 1.6618,                 1.2437,                 1.3092,               0.005842,               0.005842,               0.005842
                    128,                 1.7084,                 1.3287,                 1.3004,                 0.7743,                0.60325,                0.70027,                0.39695,                 1.6581,                 1.2398,                 1.3078,               0.005809,               0.005809,               0.005809
                    129,                 1.6949,                 1.3194,                 1.2923,                0.77491,                0.60787,                 0.7035,                 0.4003,                 1.6538,                 1.2332,                 1.3061,               0.005776,               0.005776,               0.005776
                    130,                 1.6985,                 1.3113,                 1.2967,                0.78116,                0.60326,                0.70343,                0.39973,                 1.6517,                 1.2334,                 1.3047,               0.005743,               0.005743,               0.005743
                    131,                 1.6872,                 1.3253,                 1.2842,                0.78204,                0.60446,                0.70495,                0.39813,                 1.6476,                 1.2326,                 1.3038,                0.00571,                0.00571,                0.00571
                    132,                 1.6841,                 1.3154,                 1.2927,                0.79489,                0.59915,                0.70449,                0.39973,                  1.651,                 1.2307,                 1.3045,               0.005677,               0.005677,               0.005677
                    133,                 1.6881,                 1.3109,                 1.2935,                0.78858,                0.60065,                0.70457,                0.40083,                 1.6518,                 1.2318,                 1.3048,               0.005644,               0.005644,               0.005644
                    134,                 1.6956,                 1.3165,                 1.2962,                0.75746,                0.60911,                0.70526,                0.40094,                 1.6476,                 1.2332,                 1.3034,               0.005611,               0.005611,               0.005611
                    135,                 1.6885,                 1.3164,                 1.2963,                 0.7729,                0.59646,                0.70485,                0.40078,                 1.6438,                 1.2322,                 1.3018,               0.005578,               0.005578,               0.005578
                    136,                 1.6946,                 1.3125,                 1.2858,                0.76382,                 0.6024,                0.70421,                0.40105,                 1.6409,                 1.2313,                 1.3024,               0.005545,               0.005545,               0.005545
                    137,                 1.6802,                 1.3017,                 1.2863,                0.76008,                0.61136,                0.70377,                0.40025,                 1.6432,                 1.2325,                 1.3029,               0.005512,               0.005512,               0.005512
                    138,                 1.6988,                  1.328,                 1.2909,                0.75112,                0.61939,                0.70494,                  0.403,                 1.6425,                 1.2292,                 1.3026,               0.005479,               0.005479,               0.005479
                    139,                  1.682,                 1.2903,                 1.2889,                0.75336,                0.61486,                0.70484,                0.40273,                 1.6415,                 1.2262,                 1.3002,               0.005446,               0.005446,               0.005446
                    140,                 1.6819,                 1.3003,                 1.2837,                0.75105,                0.61846,                0.70677,                0.40417,                 1.6419,                  1.225,                 1.3001,               0.005413,               0.005413,               0.005413
