epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,7383.49,1.67408,1.29936,1.28237,0.78299,0.61486,0.70264,0.40724,1.6243,1.2169,1.29817,0.006304,0.006304,0.006304
114,7446.32,1.67288,1.30667,1.28854,0.78888,0.60892,0.70205,0.40667,1.62534,1.21989,1.29878,0.006271,0.006271,0.006271
115,7509.02,1.662,1.29349,1.28291,0.77146,0.62487,0.70447,0.40725,1.62004,1.21651,1.29571,0.006238,0.006238,0.006238
116,7571.88,1.6664,1.2966,1.29435,0.77383,0.62414,0.70645,0.41102,1.6125,1.20826,1.2909,0.006205,0.006205,0.006205
117,7634.78,1.66865,1.28997,1.28342,0.76835,0.62654,0.70771,0.41157,1.61817,1.21161,1.29293,0.006172,0.006172,0.006172
118,7697.93,1.67664,1.2951,1.28792,0.78567,0.61618,0.70491,0.41009,1.61353,1.20733,1.29085,0.006139,0.006139,0.006139
119,7761.04,1.66642,1.29696,1.27913,0.78726,0.62393,0.70925,0.412,1.60883,1.20704,1.29124,0.006106,0.006106,0.006106
120,7824.08,1.66632,1.28728,1.27661,0.78725,0.61935,0.71057,0.41312,1.60686,1.20805,1.28897,0.006073,0.006073,0.006073
121,7887,1.66179,1.28806,1.27408,0.78027,0.62215,0.7096,0.41324,1.60809,1.20732,1.29117,0.00604,0.00604,0.00604
122,7949.91,1.67237,1.29355,1.28569,0.78983,0.62164,0.70986,0.41326,1.61088,1.20736,1.28993,0.006007,0.006007,0.006007
123,8012.71,1.66673,1.28105,1.27879,0.78739,0.62118,0.71068,0.41365,1.60572,1.20097,1.28828,0.005974,0.005974,0.005974
124,8075.53,1.65448,1.26972,1.27399,0.79602,0.61935,0.71045,0.41821,1.60649,1.1998,1.28795,0.005941,0.005941,0.005941
125,8138.62,1.66339,1.27592,1.27348,0.78926,0.62319,0.70998,0.41531,1.60493,1.1979,1.289,0.005908,0.005908,0.005908
126,8201.64,1.65844,1.27747,1.2765,0.7952,0.62192,0.71073,0.41441,1.60261,1.19862,1.28843,0.005875,0.005875,0.005875
127,8264.54,1.66255,1.28486,1.27843,0.79447,0.62712,0.71125,0.41495,1.60228,1.1983,1.28769,0.005842,0.005842,0.005842
128,8327.42,1.64994,1.27305,1.27464,0.80383,0.62209,0.71134,0.41422,1.60081,1.19859,1.28668,0.005809,0.005809,0.005809
129,8390.22,1.64733,1.26078,1.27157,0.80889,0.62156,0.71267,0.4169,1.59927,1.19604,1.28386,0.005776,0.005776,0.005776
130,8453.05,1.64601,1.25678,1.27507,0.80226,0.62475,0.71039,0.41404,1.60498,1.19653,1.28634,0.005743,0.005743,0.005743
131,8516.08,1.64225,1.26908,1.26859,0.80185,0.62395,0.71192,0.41369,1.60385,1.19262,1.28654,0.00571,0.00571,0.00571
132,8579.13,1.6351,1.2496,1.27145,0.80576,0.62145,0.71214,0.41701,1.60529,1.19311,1.28629,0.005677,0.005677,0.005677
133,8642.04,1.64003,1.24531,1.27072,0.79998,0.62325,0.71389,0.41818,1.60282,1.19203,1.28589,0.005644,0.005644,0.005644
134,8705.02,1.65077,1.26463,1.27558,0.80644,0.61889,0.71675,0.41923,1.60157,1.19032,1.28619,0.005611,0.005611,0.005611
135,8767.93,1.64415,1.2608,1.27833,0.78678,0.64003,0.71954,0.4211,1.59876,1.18691,1.28556,0.005578,0.005578,0.005578
136,8830.74,1.63644,1.25637,1.26054,0.78097,0.63969,0.72048,0.42202,1.59598,1.18453,1.28387,0.005545,0.005545,0.005545
137,8893.6,1.63819,1.24963,1.27012,0.78709,0.6343,0.72162,0.42136,1.59464,1.17951,1.28407,0.005512,0.005512,0.005512
138,8956.34,1.6512,1.27125,1.2653,0.78551,0.63861,0.72286,0.42316,1.59368,1.17925,1.28452,0.005479,0.005479,0.005479
139,9019.2,1.64548,1.24544,1.27073,0.80556,0.6311,0.72232,0.42271,1.59415,1.17737,1.28479,0.005446,0.005446,0.005446
140,9082.34,1.63818,1.25052,1.26562,0.80197,0.63174,0.72287,0.42183,1.59437,1.17731,1.28516,0.005413,0.005413,0.005413
141,9145.34,1.63811,1.24664,1.26581,0.79987,0.62987,0.72416,0.4227,1.59384,1.17708,1.28529,0.00538,0.00538,0.00538
142,9208.35,1.62562,1.24865,1.26132,0.79645,0.63174,0.72292,0.42206,1.59073,1.1758,1.28408,0.005347,0.005347,0.005347
143,9271.25,1.6357,1.23804,1.26118,0.80298,0.633,0.72504,0.42428,1.59014,1.17676,1.28273,0.005314,0.005314,0.005314
144,9334.14,1.61811,1.2334,1.2605,0.81549,0.62987,0.72467,0.42543,1.59091,1.17477,1.28266,0.005281,0.005281,0.005281
145,9396.97,1.63122,1.23583,1.25346,0.81251,0.62735,0.72447,0.42516,1.5898,1.17388,1.28161,0.005248,0.005248,0.005248
146,9459.77,1.62061,1.22543,1.25623,0.82513,0.6171,0.72427,0.42544,1.59204,1.17552,1.28243,0.005215,0.005215,0.005215
147,9522.51,1.60822,1.22351,1.24938,0.80806,0.62927,0.72417,0.42536,1.59122,1.17542,1.28169,0.005182,0.005182,0.005182
148,9585.28,1.61624,1.22712,1.26263,0.80915,0.62985,0.7265,0.42708,1.59144,1.17541,1.2814,0.005149,0.005149,0.005149
149,9648.11,1.61175,1.21866,1.25233,0.81075,0.63309,0.72584,0.42682,1.59109,1.17363,1.28152,0.005116,0.005116,0.005116
150,9710.89,1.61665,1.22871,1.25237,0.80452,0.63456,0.72481,0.42663,1.59047,1.17305,1.28261,0.005083,0.005083,0.005083
151,9773.84,1.6144,1.23046,1.25397,0.80738,0.63326,0.7257,0.42636,1.59379,1.1735,1.28411,0.00505,0.00505,0.00505
152,9837.03,1.60111,1.21494,1.25015,0.81285,0.63778,0.7277,0.42645,1.59312,1.17158,1.28383,0.005017,0.005017,0.005017
153,9900.15,1.61252,1.21798,1.24693,0.81203,0.6393,0.72716,0.42642,1.59489,1.17028,1.28369,0.004984,0.004984,0.004984
154,9963.09,1.61803,1.2152,1.25148,0.81199,0.63612,0.72905,0.42749,1.59461,1.17103,1.28382,0.004951,0.004951,0.004951
155,10026,1.60624,1.20694,1.2505,0.81733,0.63565,0.72927,0.42753,1.59465,1.16946,1.28383,0.004918,0.004918,0.004918
156,10088.8,1.6065,1.20961,1.25078,0.81732,0.63697,0.7301,0.42853,1.59278,1.16794,1.28354,0.004885,0.004885,0.004885
157,10151.7,1.60563,1.20294,1.25,0.80925,0.63821,0.72974,0.42681,1.59533,1.16705,1.28442,0.004852,0.004852,0.004852
158,10214.5,1.60306,1.19952,1.24474,0.80186,0.64035,0.73081,0.42824,1.59493,1.16358,1.28421,0.004819,0.004819,0.004819
159,10277.2,1.59449,1.20211,1.23923,0.80703,0.63844,0.73065,0.42843,1.59315,1.16103,1.28364,0.004786,0.004786,0.004786
160,10340.2,1.59899,1.19846,1.24459,0.80703,0.6379,0.73235,0.42872,1.59267,1.15866,1.28313,0.004753,0.004753,0.004753
161,10403.2,1.60121,1.20603,1.24888,0.81124,0.63644,0.73171,0.43036,1.59228,1.15933,1.28284,0.00472,0.00472,0.00472
162,10466.5,1.59922,1.20273,1.24466,0.81657,0.63786,0.73333,0.43099,1.59177,1.15925,1.28296,0.004687,0.004687,0.004687
163,10529.6,1.58343,1.18653,1.2388,0.81749,0.63355,0.73293,0.43198,1.58952,1.15753,1.28208,0.004654,0.004654,0.004654
164,10592.5,1.58605,1.18927,1.24024,0.8196,0.63426,0.73413,0.43167,1.58736,1.15558,1.28197,0.004621,0.004621,0.004621
165,10655.4,1.5873,1.19578,1.23895,0.82073,0.63611,0.73465,0.43147,1.58617,1.15521,1.28143,0.004588,0.004588,0.004588
166,10718.3,1.58197,1.17441,1.23889,0.82243,0.63261,0.7352,0.43216,1.58552,1.1545,1.28077,0.004555,0.004555,0.004555
167,10781.2,1.57946,1.18197,1.24128,0.81932,0.63312,0.73533,0.43266,1.58452,1.15359,1.28062,0.004522,0.004522,0.004522
168,10843.9,1.58202,1.17392,1.23561,0.81274,0.63515,0.73534,0.43299,1.58481,1.15377,1.28041,0.004489,0.004489,0.004489
169,10906.7,1.58253,1.179,1.24683,0.81123,0.63437,0.73511,0.43317,1.58526,1.15416,1.28048,0.004456,0.004456,0.004456
170,10969.7,1.57305,1.17281,1.23722,0.81338,0.63683,0.73603,0.43251,1.58446,1.15347,1.28047,0.004423,0.004423,0.004423
171,11032.9,1.5835,1.17202,1.23999,0.81759,0.63397,0.73592,0.43269,1.58296,1.15337,1.28034,0.00439,0.00439,0.00439
172,11095.9,1.57941,1.17485,1.2416,0.81423,0.63464,0.73627,0.43318,1.58253,1.15299,1.28056,0.004357,0.004357,0.004357
173,11158.7,1.57686,1.17886,1.23529,0.81928,0.63343,0.73622,0.4329,1.58204,1.15223,1.28049,0.004324,0.004324,0.004324
