                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                 1.7136,                 1.3377,                 1.3174,                0.76064,                0.63568,                0.70863,                0.40062,                 1.6908,                 1.2744,                 1.3594,               0.006898,               0.006898,               0.006898
                     96,                 1.6998,                  1.325,                  1.322,                0.77498,                0.61961,                0.70729,                0.39952,                 1.6983,                 1.2831,                 1.3564,               0.006865,               0.006865,               0.006865
                     97,                 1.7054,                 1.3319,                 1.3238,                0.77217,                0.62531,                0.70948,                0.39664,                 1.6993,                 1.2734,                 1.3563,               0.006832,               0.006832,               0.006832
                     98,                 1.7119,                 1.3283,                 1.3259,                0.78653,                0.62485,                0.71301,                0.40279,                 1.7003,                 1.2706,                 1.3587,               0.006799,               0.006799,               0.006799
                     99,                 1.7111,                 1.3249,                 1.3187,                 0.8037,                0.62245,                0.71263,                0.40135,                 1.6998,                 1.2763,                 1.3577,               0.006766,               0.006766,               0.006766
                    100,                 1.7059,                 1.3236,                 1.3172,                0.81139,                0.61019,                0.71228,                0.40133,                 1.6946,                 1.2658,                 1.3559,               0.006733,               0.006733,               0.006733
                    101,                 1.7006,                 1.3183,                 1.3156,                0.78596,                0.61429,                0.71477,                  0.407,                 1.6893,                 1.2561,                 1.3518,                 0.0067,                 0.0067,                 0.0067
                    102,                  1.703,                 1.3155,                 1.3117,                0.78226,                0.62753,                0.71822,                0.40766,                 1.6944,                 1.2552,                 1.3501,               0.006667,               0.006667,               0.006667
                    103,                 1.6874,                 1.3033,                 1.3056,                0.81354,                0.61528,                0.72153,                0.40723,                 1.6904,                 1.2479,                 1.3492,               0.006634,               0.006634,               0.006634
                    104,                 1.6934,                 1.3087,                 1.3153,                 0.7694,                0.63309,                0.72106,                0.40561,                 1.6888,                 1.2481,                   1.35,               0.006601,               0.006601,               0.006601
                    105,                  1.678,                 1.2963,                   1.31,                0.78916,                0.62171,                0.71948,                 0.4065,                 1.6936,                 1.2416,                 1.3525,               0.006568,               0.006568,               0.006568
                    106,                  1.688,                 1.3064,                 1.3085,                 0.7962,                0.62726,                0.72448,                0.40696,                 1.6874,                 1.2406,                 1.3513,               0.006535,               0.006535,               0.006535
                    107,                 1.6785,                 1.2851,                 1.3058,                0.79782,                0.62601,                0.72448,                0.41212,                 1.6839,                 1.2401,                   1.35,               0.006502,               0.006502,               0.006502
                    108,                 1.6748,                  1.289,                 1.3003,                0.79239,                 0.6354,                 0.7271,                0.41455,                 1.6768,                 1.2372,                 1.3436,               0.006469,               0.006469,               0.006469
                    109,                 1.6797,                 1.3009,                 1.3049,                0.78155,                 0.6351,                0.72802,                0.41314,                 1.6732,                 1.2403,                 1.3416,               0.006436,               0.006436,               0.006436
                    110,                 1.6775,                 1.2858,                 1.3052,                0.79976,                0.63572,                0.72675,                0.41187,                 1.6764,                 1.2371,                 1.3461,               0.006403,               0.006403,               0.006403
                    111,                 1.6908,                 1.2971,                 1.3099,                0.78716,                0.63964,                0.72759,                0.41057,                 1.6845,                 1.2428,                 1.3506,                0.00637,                0.00637,                0.00637
